roles,companies,locations,experience,skills
Data Scientist,Equifax Credit Information Services Private Limited,Bengaluru,2-6 Yrs,"data mining
statistics
data"
Data Scientist,Equifax Credit Information Services Private Limited,Bengaluru,3-5 Yrs,"tableau
data science
sql database
security systems
physical security
management
data warehousing
python"
DATA SCIENTIST,Equifax Credit Information Services Private Limited,Bengaluru,4-8 Yrs,"python
data scientist
data"
DATA SCIENTIST,TATA INDUSTRIES LIMITED-TATA INSIGHTS AND QUANTS DIVISON,Bengaluru,2-7 Yrs,"hive
python
data mining
neural networks
predictive analytics
time series
random forest
svm"
Data Scientist,TATA INDUSTRIES LIMITED-TATA INSIGHTS AND QUANTS DIVISON,Bengaluru,3-5 Yrs,"operations research
simulation
data management
analytical
german
spanish
continuous improvement
analytics"
Data Scientist,TATA INDUSTRIES LIMITED-TATA INSIGHTS AND QUANTS DIVISON,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",4-7 Yrs,"training
data analysis
data science
machine learning
infrastructure
programming
model development
deployment"
Data Scientist,TATA INDUSTRIES LIMITED-TATA INSIGHTS AND QUANTS DIVISON,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5-10 Yrs,"hypothesis testing
predictive modeling
predictive
modeling
hypothesis
data
software testing"
Data Scientist,TATA INDUSTRIES LIMITED-TATA INSIGHTS AND QUANTS DIVISON,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",4-6 Yrs,"computer vision
analytical
machine learning
agile
market research
business solutions
forecasting
financial services"
Data scientist,TATA INDUSTRIES LIMITED-TATA INSIGHTS AND QUANTS DIVISON,Bengaluru,7-9 Yrs,"deep learning
version control
gcp
quality testing
machine learning
high performance computing
business solutions
sql"
Data Scientist,TATA INDUSTRIES LIMITED-TATA INSIGHTS AND QUANTS DIVISON,Noida,7-12 Yrs,"computer vision
telesales
business analytics
javascript
inside sales
open source
digital marketing
sales account"
Data Scientist,TATA INDUSTRIES LIMITED-TATA INSIGHTS AND QUANTS DIVISON,Bengaluru,2-4 Yrs,"computer vision
performance tuning
deep learning
data science
analytical
machine learning
packaging
data structures"
Data Scientist,TATA INDUSTRIES LIMITED-TATA INSIGHTS AND QUANTS DIVISON,Bengaluru,2-3 Yrs,"computer science
excel
statistical analysis
analytical
consulting
hypothesis testing
data visualization
forecasting"
Data Scientist,TATA INDUSTRIES LIMITED-TATA INSIGHTS AND QUANTS DIVISON,Bengaluru,2-5 Yrs,"it services
san
operations research
production planning
analytical
consulting
sms
crm"
Data Scientist,TATA INDUSTRIES LIMITED-TATA INSIGHTS AND QUANTS DIVISON,Bengaluru,8-10 Yrs,"mining
text mining
logistic regression
machine learning
data mining
continuous improvement
open source
forecasting"
Data Scientist I A - GBS,TATA INDUSTRIES LIMITED-TATA INSIGHTS AND QUANTS DIVISON,"Hyderabad, Chennai",7-9 Yrs,"wealth management
sas
data management
risk analytics
process improvement
analytical
consulting
risk management"
Data Scientist,TATA INDUSTRIES LIMITED-TATA INSIGHTS AND QUANTS DIVISON,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5-8 Yrs,"computer science
rdbms
analytical
machine learning
predictive modeling
data visualization
research
business case"
Data Scientist,TATA INDUSTRIES LIMITED-TATA INSIGHTS AND QUANTS DIVISON,Bengaluru,3-8 Yrs,"computer vision
automation
neural networks
debugging
machine learning
agile
customer experience
technology solutions"
Data Scientist / Advanced Analytics - Machine Learning,TATA INDUSTRIES LIMITED-TATA INSIGHTS AND QUANTS DIVISON,"Chennai, Bengaluru",1-5 Yrs,"advanced analytics
deep learning
artificial intelligence
r programming
machine learning
python
data analytics
intelligence"
Data Scientist,TATA INDUSTRIES LIMITED-TATA INSIGHTS AND QUANTS DIVISON,Bengaluru,5-7 Yrs,"data analysis
github
artificial intelligence
machine learning
data structures
financial services
sql
python"
Data Scientist,TATA INDUSTRIES LIMITED-TATA INSIGHTS AND QUANTS DIVISON,New Delhi,2-4 Yrs,"machine learning
data collection
data visualization
machine
collections
data"
Data Scientist,TATA INDUSTRIES LIMITED-TATA INSIGHTS AND QUANTS DIVISON,"Hyderabad, Bengaluru",3-8 Yrs,"machine learning
data collection
data visualization
data
collections
machine"
Data Scientist,TATA INDUSTRIES LIMITED-TATA INSIGHTS AND QUANTS DIVISON,Bengaluru,4-5 Yrs,"computer science
computer vision
linux
machine learning
information technology
automotive
analytics
functional safety"
NLP Data Scientist,TATA INDUSTRIES LIMITED-TATA INSIGHTS AND QUANTS DIVISON,"Hyderabad, Bengaluru",2-3 Yrs,"basic
data analysis
version control
git
gcp
programming
healthcare
technology solutions"
Data Scientist,Heaps Health Solutions India,"Hyderabad, Bengaluru",1-4 Yrs,"data analysis
version control
git
data science
gcp
analytical
machine learning
data mining"
Data Scientist,Heaps Health Solutions India,Bengaluru,3-5 Yrs,"health insurance
sas
financial inclusion
agile
infrastructure
predictive modeling
data mining
financial services"
Data Scientist,Heaps Health Solutions India,Bengaluru,2-4 Yrs,"pdf
statistical analysis
machine learning
ms word
data visualization
python
microsoft
machine"
DATA SCIENTIST,Heaps Health Solutions India,Bengaluru,3-5 Yrs,"computer science
nosql
statistical analysis
data modeling
analytical
machine learning
mysql
data structures"
Data Scientist,Heaps Health Solutions India,"Mumbai, Jamshedpur, Bengaluru",2-7 Yrs,"data analysis
data management
html
http
information management
data mining
econometrics
information technology"
Data Scientist,Heaps Health Solutions India,Bengaluru,12-15 Yrs,"machine learning
data collection
data visualization
collections
machine
data"
Data Scientist,Heaps Health Solutions India,"Mumbai, Bengaluru",12-15 Yrs,"machine learning
data collection
data visualization
data
collections
machine"
Data Scientist,Heaps Health Solutions India,Bengaluru,3-5 Yrs,"operational excellence
renewable energy
performance management
gcp
machine learning
cloud
workflow
genetics"
Data Scientist,Heaps Health Solutions India,Noida,4-7 Yrs,"computer vision
telesales
business analytics
javascript
inside sales
open source
digital marketing
sales account"
Data Scientist,Heaps Health Solutions India,Bengaluru,3-8 Yrs,"tableau
data science
spark
demand forecasting
machine learning
data structures
object oriented programming
statistics"
Data Scientists,Heaps Health Solutions India,Hyderabad,2-7 Yrs,"help desk
customer service
customer relationship
access controls
telephony support
asset management
vendor management
information"
Data Scientist,Heaps Health Solutions India,Bengaluru,3-4 Yrs,job position: data scientist
Data Scientist,Heaps Health Solutions India,Bengaluru,3-7 Yrs,"erp
data analysis
sas
simulation
analytical
machine learning
healthcare
data mining"
Data scientist,Heaps Health Solutions India,Bengaluru,9-10 Yrs,"business objects
ms sql
mysql
javascript
business intelligence
microsoft
open source
information technology"
Data Scientist,Heaps Health Solutions India,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",4-9 Yrs,"computer science
operations research
data science
gcp
machine learning
sage
data mining
aws"
Data Scientists and Programmer,Heaps Health Solutions India,Bengaluru,2-5 Yrs,"san
health insurance
tableau
data modeling
cassandra
script writing
big data analytics
machine learning"
Data Scientists,Heaps Health Solutions India,Bengaluru,1-4 Yrs,"algorithms
workday functional
python
workday
data security
predictive analytics
predictive
power bi"
Data scientist,Heaps Health Solutions India,"Mumbai, Pune, Bengaluru",3-7 Yrs,"computer science
gcp
machine learning
cloud
manager technology
workflow
e-commerce
data quality"
Data Scientist,Heaps Health Solutions India,Bengaluru,3-8 Yrs,"computer science
data analysis
sas
mis
analytical
research
information technology
analytics"
Data Scientist,Heaps Health Solutions India,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",6-10 Yrs,data scientist
Data Scientist,Netcore Cloud,Bengaluru,3-5 Yrs,"prototype
brand ambassador
machine learning
programming
data structures
information retrieval
natural language processing
data mining"
Data Scientist - ASR & NLP Specialist,Netcore Cloud,Bengaluru,3-8 Yrs,"computer science
asr
cloud computing
gcp
machine learning
linguistics
healthcare
natural language processing"
Data Scientist I,Netcore Cloud,Bengaluru,1-3 Yrs,"computer science
computer vision
deep learning
neural networks
data collection
model development
statistics
supervision"
Data Scientist,Netcore Cloud,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-6 Yrs,"algorithms
python
project management
modeling
data analysis
data analytics
preventive maintenance
business solutions"
"Data Scientist, Cyber Risk",Netcore Cloud,Bengaluru,1-3 Yrs,"data modeling
event management
risk modeling
risk assessment
machine learning
siem
data quality
risk management"
"Data Scientist, Cyber Risk",Netcore Cloud,Bengaluru,1-3 Yrs,"computer science
data modeling
event management
risk modeling
risk assessment
machine learning
siem
data quality"
Data Scientist,Netcore Cloud,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-7 Yrs,"data analysis
coding
process improvement
data governance
management
analysis
process
data"
Data Scientist,Netcore Cloud,Bengaluru,3-8 Yrs,"computer science
deep learning
statistical modeling
prototype
data science
neural networks
machine learning
research"
Data Scientist,Netcore Cloud,"Mumbai, Bengaluru",3-7 Yrs,"c++
product engineering
nosql
business analytics
artificial intelligence
mysql
machine learning
mongodb"
Data Scientist,Netcore Cloud,Bengaluru,3-6 Yrs,"supply chain
ms office package
data analysis
data science
diversity and inclusion
machine learning
agile
network security"
Data Scientist- LLM/NLP,Netcore Cloud,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-3 Yrs,"computer science
training
continuous integration
data analysis
cassandra
machine learning
natural language processing
data privacy"
Data Scientist,Netcore Cloud,Bengaluru,2-4 Yrs,"product management
computer science
machine learning
radiology
programming
healthcare
natural language processing
recruitment"
Data Scientist,Netcore Cloud,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-5 Yrs,"logistic regression
data analysis
analytical
machine learning
data mining
econometrics
operations
team building"
Data Scientist,Netcore Cloud,Bengaluru,3-5 Yrs,"computer science
stakeholder engagement
deep learning
data science
db2
machine learning
agile
data visualization"
Data Scientist,Netcore Cloud,Bengaluru,2-5 Yrs,"data analysis
data science
project management
deployment
mathematics
research
statistics
supervision"
Data Scientist,Netcore Cloud,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",8-9 Yrs,"computer vision
deep learning
data science
focus
machine learning
programming
natural language processing
python"
Data Scientist,Netcore Cloud,Bengaluru,3-7 Yrs,"data science
analytical
machine learning
hypothesis testing
statistics
business understanding
python
text analytics"
Data Scientist,Netcore Cloud,Bengaluru,8-13 Yrs,"unix
supply chain
computer science
c++
linux
machine learning
spss
data mining"
Data Scientist,Netcore Cloud,Pune,3-8 Yrs,"computer vision
deep learning
esp
opencv
data structures
transformers
python
vision"
Data Scientist,Netcore Cloud,Bengaluru,12-22 Yrs,"product management
change management
team management
business analysis
mis
project management
consulting
risk management"
Data Scientist-Deep Learning,Response Informatics,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",8-9 Yrs,"computer vision
deep learning
data science
focus
machine learning
programming
natural language processing
python"
Data Scientist,Response Informatics,Bengaluru,5-7 Yrs,"computer science
computer vision
operations research
machine learning
scala
workflow
natural language processing
data mining"
Data Scientist,Response Informatics,Bengaluru,3-5 Yrs,"c++
linux
networking
coding
javascript
dns
perl
http"
Data Scientist,Response Informatics,Bengaluru,5-7 Yrs,"computer science
health insurance
data analysis
backend
data science
data modeling
machine learning
financial services"
Data Scientist AI ML NLP,Response Informatics,Bengaluru,3-5 Yrs,"text mining
logistic regression
lms
machine learning
healthcare
data visualization
data mining
open source"
Data Scientist,Response Informatics,Bengaluru,6-8 Yrs,"statistical modeling
data science
time series analysis
data manipulation
diversity and inclusion
machine learning
linear regression
sql"
Data Scientist,Response Informatics,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-6 Yrs,data scientist
NLP Data Scientist - Real World Data (RWD),Response Informatics,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-8 Yrs,"computer science
health insurance
pharma
analytical
agile
healthcare
life sciences
open source"
data scientist,Response Informatics,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-7 Yrs,"computer science
data analysis
nosql
machine learning
data collection
business intelligence
data mining
matlab"
Data Scientist,Response Informatics,Bengaluru,4-7 Yrs,"data analysis
process optimization
marketing analytics
simulation
data science
machine learning
data collection
data mining"
"Quants, Sports Data Scientist",Response Informatics,Bengaluru,2-6 Yrs,"machine learning
data collection
data visualization
collections
sports
machine
data"
Data Scientist,Response Informatics,Bengaluru,4-9 Yrs,"data science
advanced analytics
python
tensorflow
computer vision
data processing
pytorch
machine learning"
"NLP , Data Scientist",Response Informatics,Bengaluru,4-6 Yrs,"computer science
pharma
analytical
machine learning
agile
healthcare
life sciences
analytics"
"Knowledge Graph , Data Scientist",Response Informatics,Bengaluru,3-5 Yrs,"computer science
pharma
analytical
machine learning
agile
healthcare
life sciences
operations"
"Deep Learning , Data Scientist",Response Informatics,Bengaluru,3-5 Yrs,"computer science
pharma
analytical
machine learning
agile
healthcare
life sciences
operations"
Data Scientist,Response Informatics,Bengaluru,3-7 Yrs,"algorithms
python
modeling
data analysis
data analytics
natural language processing
predictive
machine learning"
Data Scientist,Response Informatics,Bengaluru,2-6 Yrs,"algorithms
python
modeling
data analysis
data analytics
natural language processing
predictive
machine learning"
Data Scientist,Response Informatics,Bengaluru,5-10 Yrs,"simulation
coding
neural networks
analytical
agile development
machine learning
predictive modeling
data mining"
Python Data Scientist,Response Informatics,Bengaluru,2-5 Yrs,"computer science
usage
tableau
neural networks
analytical
predictive modeling
data quality
data mining"
Data Scientist,Response Informatics,Hyderabad,4-9 Yrs,"c++
ms sql
data modeling
mysql
olap
oracle
business intelligence
middleware"
Data Scientist,Galvanize,Bengaluru,2-5 Yrs,"computer science
c
project management
analytical
machine learning
legal
manager technology
wellness"
Security Data Scientist,Galvanize,Bengaluru,1-3 Yrs,"automation
data analysis
cyber security
information security
machine learning
genetics
distribution system
operations"
Data Scientist,Galvanize,"Kolkata, Mumbai, Hyderabad, New Delhi, Pune, Chennai, Bengaluru",4-12 Yrs,"machine learning
data collection
data visualization
collections
machine
data"
Data Scientist,Galvanize,Bengaluru,2-6 Yrs,"machine learning
deployment
data
machine"
Data Scientist,Galvanize,Bengaluru,3-8 Yrs,data scientist
Data Scientist,Galvanize,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-6 Yrs,"c++
linux
agile scrum
machine learning
programming
object oriented programming
statistics
sql"
Data Scientist,Galvanize,Mumbai,3-6 Yrs,"telecom
sas
analytical
machine learning
data quality
ms office
data mining
analytics"
Data Scientist,Galvanize,Bengaluru,8-13 Yrs,"c++
algorithms
simulation
coding
mysql
machine learning
javascript
business objects"
DATA SCIENTIST,Galvanize,Bengaluru,5-8 Yrs,"algorithms
data modeling
analytical
machine learning
grid
perl
data mining
matlab"
Data Scientist,Galvanize,"Noida, Pune, Chennai, Coimbatore, Bengaluru",4-7 Yrs,"unix
data analysis
sas
linux
coding
analytical
windows
risk management"
Data Scientist,Galvanize,Bengaluru,2-7 Yrs,"statistical analysis
data mining
statistics
data
analysis"
Data Scientist,Galvanize,"Hyderabad, Bengaluru",3-8 Yrs,"erp
data analysis
sas
simulation
analytical
machine learning
healthcare
data mining"
Data Scientist,Galvanize,Bengaluru,2-6 Yrs,"sas
aviation
analytical
machine learning
spss
gas turbine
matlab
analytics"
Data Scientist,Galvanize,Bengaluru,3-7 Yrs,"training
deep learning
data science
networking
gcp
big data analytics
machine learning
cloud storage"
Data Scientist,Galvanize,"Chennai, Bengaluru",2-6 Yrs,"process automation
data science
artificial intelligence
consulting
machine learning
linear regression
microsoft
facility management"
Data Scientist,Galvanize,"Noida, Pune, Chennai, Coimbatore, Bengaluru",4-7 Yrs,"unix
linux
sas
coding
application development
windows
teradata
open source"
Data Scientist,Galvanize,Bengaluru,4-6 Yrs,"computer science
deep learning
data science
spark
consumer marketing
machine learning
forecasting
business understanding"
AI - Data Scientist/ Architect,Galvanize,Bengaluru,7-12 Yrs,"architect
sas
data science
focus
machine learning
cloud
programming
agile"
Data Science Engineer - Data Analyst/Scientist,Galvanize,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-5 Yrs,"operations research
analytical
machine learning
scala
algorithm development
data analyst
data visualization
forecasting"
Software Engineer - Data Scientists,Galvanize,Kolkata,3-8 Yrs,"data analysis
business analytics
genomics
web development
machine learning
medical tourism
scheduling
data mining"
Data Scientist,Leading Client,Gurugram,3-6 Yrs,"data scientist
machine learning
gen ai
deep learning
mlops
natural language processing
scikit-learn
ml modeling"
Data Scientist - Image Recognition/Machine Learning,Leading Client,Hyderabad,5-10 Yrs,"image recognition
nlp
data scientist
time series analysis
artificial intelligence
data management
distributed computing
machine learning"
CarbyneTech - Data Scientist - Image Recognition/Machine Learning,Leading Client,Hyderabad,5-10 Yrs,"data scientist
nlp
time series analysis
artificial intelligence
data management
image recognition
distributed computing
machine learning"
Data Scientist,Leading Client,"Mumbai, Pune, Gurugram",5-8 Yrs,"genesys
data science
software development
docker
version control
ci/cd
rag
ml models"
Data Scientist,Leading Client,"Hybrid - Pune, Gurugram, Bengaluru",5-8 Yrs,"data science
gen ai
natural language processing
machine learning
deep learning
machine
gen
processing"
Hiring Data Scientist - Pune,Leading Client,Pune(Kalyani Nagar),3-6 Yrs,"python
data science
big data analytics
predictive modeling
data scientist
machine learning
business intelligence
sql"
Data Scientist,Leading Client,"Hybrid - Hyderabad, Pune, Bengaluru",8-10 Yrs,"ai
machine learning
natural language processing
mlops
machine
process
artificial intelligence
languages"
Data Scientist,Leading Client,Bengaluru,6-11 Yrs,"data science
machine learning
python
robust code
deep learning
machine
coding
robust"
Data Scientist,Leading Client,"Bengaluru, Delhi / NCR, Mumbai (All Areas)",3-8 Yrs,"python programming
llm
artificial intelligence
data analysis
python development
python
development
program"
Data Scientist,Leading Client,"New Delhi, Bengaluru",2-7 Yrs,"data science
data scientist
machine learning
algorithm
data
machine
science
algorithms"
Data Scientist,Leading Client,Bengaluru,10-15 Yrs,"computer science
data analysis
statistical modeling
data science
artificial intelligence
consulting
machine learning
database"
Data Scientist,Leading Client,Bengaluru,3-7 Yrs,"data science
data modeling
agile
data processing
informatica
microsoft
reporting tools
sql"
NLP Data Scientist,Leading Client,Bengaluru,3-5 Yrs,"technical product configuration
c++
c
design
mysql
javascript
integration php
html"
Data Scientist,Leading Client,Bengaluru,2-3 Yrs,"supply chain
logistic regression
industry research
neural networks
project management
machine learning
business excellence
natural language processing"
Data Analyst/Architect/Scientist/Engineer,Leading Client,Hyderabad,4-10 Yrs,"architect
data analyst
data analysis
engineering
architecture
data"
AI Data Scientist,Leading Client,Pune,2-5 Yrs,"computer science
data analysis
usage
data science
analytical
machine learning
programming
deployment"
Data Scientist (GenAI Focus),Leading Client,Remote,4-7 Yrs,"natural language processing
sql
machine learning algorithms
spark
python
tensorflow
big data
cloud platform"
Data Scientist - Python & SQL Focus,Leading Client,Kolkata,4-6 Yrs,"python
machine learning model development
data scientist
hadoop
data analysis
data visualization
spark
relational databases"
Data Scientist,Leading Client,Pune,2-6 Yrs,"product quality
health insurance
product engineering
cyber security
time series analysis
machine learning
siem
research"
Data Scientist 3,Leading Client,Chennai,10-12 Yrs,"data analysis
data science
analytical
diversity and inclusion
hypothesis testing
instrumentation
analytics
product marketing"
Expert Data Scientist,Ciklum,Chennai,3-8 Yrs,"computer science
data analysis
operations research
ms sql
resourcing
medical insurance
business solutions
econometrics"
Data Scientist,Ciklum,Gurugram,5-8 Yrs,"computer science
data analysis
data science
sas
agile
predictive modeling
scrum
analytics"
Data Scientist,Ciklum,Remote,1-3 Yrs,"computer science
career development
data analysis
machine learning
wellness
anova
silicon
consumer electronics"
Data Scientist,Ciklum,Remote,7-12 Yrs,"pytorch
python
tensorflow
natural language processing
grafana
statistics
deep learning
huggingface"
Data Scientist,Ciklum,Hyderabad,5-10 Yrs,"deep learning frameworks
erp
python
data analysis
natural language processing
togaf
neural networks
data migration"
Data Scientist,Ciklum,Hyderabad,8-9 Yrs,"supervisor
3d
data analysis
architecture
conceptualization
silicon
research
management"
Data Scientist,Ciklum,Hybrid - Hyderabad,6-11 Yrs,"data science
genai
ml
python
gcp
aws
data
science"
Data Scientist,Ciklum,Noida,4-8 Yrs,"machine learning algorithms
machine learning
pricing strategy
sql
data science
predictive modeling
r
pricing analysis"
Data Scientist,Ciklum,Pune,9-12 Yrs,"data science
aml
artificial intelligence
natural language processing
languages
data
processing
intelligence"
Data Scientist,Ciklum,Chennai,5-8 Yrs,"pytorch
tensorflow
azure cloud
aws
python
cloud
microsoft azure
data"
Data Scientist,Ciklum,Hyderabad,3-8 Yrs,"computer science
data science
gcp
machine learning
cloud
programming
data visualization
troubleshooting"
Data Scientist - Image Recognition / Machine Learning,Ciklum,Hyderabad,5-10 Yrs,"data science
java
nltk
r
elasticsearch
elk
scala
image recognition"
Data Scientist - Machine Learning/APICS,Ciklum,Hyderabad,3-8 Yrs,"machine learning
data science
r
apics
nlp
artificial intelligence
data management
python"
Data Scientist - Machine Learning/Python,Ciklum,Hyderabad,3-8 Yrs,"python
predictive modeling
r
data scientist
data management
machine learning
sql
machine"
Data Scientist - Image Recognition/Machine Learning,Ciklum,Hyderabad,5-10 Yrs,"machine learning
tensorflow
artificial intelligence
data management
image recognition
deep learning
pig
pytorch"
Data Scientist - Machine Learning / APICS,Ciklum,Hyderabad,3-8 Yrs,"machine learning
data science
r
nlp
neural networks
artificial intelligence
deep learning
python"
Data Scientist - Azure Data Factory/NLP Pipeline,Ciklum,Hyderabad,2-7 Yrs,"azure data factory
data science
nlp pipeline
ci/cd pipeline
data scientist
data management
time series forecasting
neural networks"
Data Scientist - Image Recognition/Machine Learning,Ciklum,Hyderabad,5-10 Yrs,"data science
nlp
data scientist
time series analysis
artificial intelligence
data management
image recognition
distributed computing"
Data Scientist - Azure Data Factory/NLP Pipeline,Ciklum,Hyderabad,2-7 Yrs,"azure data factory
data science
nlp pipeline
nlp
ci/cd pipeline
data scientist
data management
time series forecasting"
Data Scientist - Python/Machine Learning,Ciklum,Hyderabad,2-7 Yrs,"machine learning
r-cnn
nlp
data scientist
pandas
neural networks
numpy
deep learning"
Data Scientist - Azure ML,CARBYNETECH,Visakhapatnam,3-8 Yrs,"azure
azure ml
mlflow
mlops
machine learning
microsoft flow
azure devops
machine"
Data Scientist - Azure ML,CARBYNETECH,Hyderabad,3-8 Yrs,"azure
azure ml
mlflow
mlops
machine learning
microsoft flow
machine
ml"
Data Scientist,CARBYNETECH,Mumbai,2-4 Yrs,"data science
gcp
oops
cloud
hr
customer experience
multivariate analysis
statistics"
Data Scientist,CARBYNETECH,"Indore, Pune",6-11 Yrs,data scientist
Data-Scientist,CARBYNETECH,Pune,1-5 Yrs,"computer vision
deep learning
translation
artificial intelligence
finance
machine learning
auditing
computer"
Data Scientist,CARBYNETECH,Chennai,3-7 Yrs,"data analysis
tableau
data science
machine learning
programming
power bi
data visualization
statistics"
Data Scientist,CARBYNETECH,Remote,2-7 Yrs,"c++
data analysis
postgresql
mysql
machine learning
html
data mining
sql"
DATA SCIENTIST,CARBYNETECH,Kolkata,5-7 Yrs,"computer science
statistical analysis
excel
front end
data modeling
gcp
programming
sql"
Geospatial Data Scientist,CARBYNETECH,Pune,1-5 Yrs,geospatial data scientist
Data Scientist - I,CARBYNETECH,Gurugram,3-6 Yrs,"logistic regression
lms
neural networks
artificial intelligence
machine learning
information retrieval
customer service
operations"
Data Scientist,CARBYNETECH,Gurugram,1-2 Yrs,"computer science
gcp
analytical
social media
machine learning
silicon
customer experience
salesforce"
Data Scientist,CARBYNETECH,"Kochi, Thiruvananthapuram",4-9 Yrs,"training
deep learning
usage
data science
architecture
gcp
production operations
cloud"
Data Scientist,CARBYNETECH,Mumbai,1-5 Yrs,"algorithms
python
modeling
data analysis
data analytics
natural language processing
predictive
machine learning"
Data Scientist,CARBYNETECH,Hyderabad,3-7 Yrs,"computer science
data analysis
product engineering
analytical
machine learning
continuous improvement
forecasting
monitoring"
Data Scientist / Data Science Trainer,CARBYNETECH,Hyderabad,3-8 Yrs,"computer science
data science
django
analytical
machine learning
engineering manager
natural language processing
software services"
Data scientist,CARBYNETECH,"Mumbai, Goregaon east",2-4 Yrs,"python
tensorflow
azure
data science
google cloud platform
web development
numpy
machine learning"
Data Scientist,CARBYNETECH,Hyderabad,4-6 Yrs,"statistical analysis
b2c
excel
e-commerce
deployment
gaming
statistics
supervision"
Data Scientist,CARBYNETECH,Ahmedabad,2-10 Yrs,"computer vision
deep learning
team leading
image processing
coding
machine learning
manager technology
data processing"
Data Scientist,CARBYNETECH,Chennai,6-8 Yrs,"operations research
version control
business analysis
analytical
machine learning
agile
agile methodology
project delivery"
Data Scientist,CARBYNETECH,Pune,4-6 Yrs,"computer science
digital media
online media
email marketing
data science
analytical
machine learning
private label"
Data Scientist,Gforce Consulting Solutions,"Kolkata, Pune, Gurugram",3-8 Yrs,"computer vision
marketing analytics
data science
risk analytics
analytical
demand forecasting
consulting
natural language processing"
Data Scientist,Gforce Consulting Solutions,New Delhi,2-7 Yrs,"computer science
statistical analysis
analytical
consulting
machine learning
predictive modeling
regression analysis
econometrics"
Data Scientist,Gforce Consulting Solutions,"Kolkata(Minto Park), Papua New Guinea",2-5 Yrs,"natural language processing
deep learning
data science
statistical modeling
python
predictive modeling
logistic regression
arima"
Data Scientist,Gforce Consulting Solutions,Remote,2-7 Yrs,"analytical
machine learning
research
statistics
analytics
machine
data"
Data Scientist (Media Mix Modelling),Gforce Consulting Solutions,Hyderabad,3-8 Yrs,"market mix modelling
machine learning
sql
statistical modeling
python
predictive modeling
iri
azure"
Data Scientist,Gforce Consulting Solutions,Hyderabad,3-8 Yrs,"c++
automation
git
simulation
data modeling
simulink
qlikview
matlab"
Data Scientist,Gforce Consulting Solutions,Remote,3-4 Yrs,"statistical modeling
translation
usage
data science
advocate
analytics
sql
python"
Data Scientist,Gforce Consulting Solutions,Chennai,3-7 Yrs,"unix
performance tuning
c++
data analysis
linux
data management
windows
open source"
Data Scientist,Gforce Consulting Solutions,Gurugram,5-8 Yrs,"computer science
cloud computing
statistical analysis
data science
analytical
machine learning
healthcare
data visualization"
Data Scientist,Gforce Consulting Solutions,New Delhi,2-6 Yrs,"unix
computer science
cloud computing
front end
git
data modeling
analytical
data quality"
Data Scientist,Gforce Consulting Solutions,Gurugram,3-7 Yrs,"computer science
data science
analytical
machine learning
predictive modeling
data visualization
microsoft
sql"
Data Scientist,Gforce Consulting Solutions,Hyderabad,1-5 Yrs,"sas
r
pytorch
spss
python
tensorflow
scikit learn
scikit-learn"
NLP Data Scientist,Gforce Consulting Solutions,Remote,2-3 Yrs,"computer science
analytical skills
deep learning
data science
architecture
scalability
machine learning
natural language processing"
Data Scientist,Gforce Consulting Solutions,Chennai,3-6 Yrs,"san
analytical
soc
machine learning
information technology
sql
python
crm"
Data Scientist,Gforce Consulting Solutions,Remote,2-5 Yrs,"computer vision
deep learning
machine learning
shell scripting
transformers
data analytics
mathematics
statistics"
Data Scientist,Gforce Consulting Solutions,Chennai,3-6 Yrs,"machine learning
data collection
data visualization
data
machine
collections"
Data Scientist,Gforce Consulting Solutions,Chennai,3-7 Yrs,"computer science
advanced analytics
focus
machine learning
scala
programming
mathematics
data mining"
Data Scientist,Gforce Consulting Solutions,Pune,8-12 Yrs,"computer science
remediation
root cause analysis
data analysis
data science
machine learning
research
wifi"
Data Scientist,Gforce Consulting Solutions,Pune,8-9 Yrs,"computer science
remediation
root cause analysis
data analysis
data science
machine learning
research
wifi"
AI/ML Developer - Data Scientist,Gforce Consulting Solutions,Ahmedabad,2-7 Yrs,"training
deep learning
usage
linux
opencv
machine learning
deployment
data quality"
